0, 1015, 29
3.6, 1008.4, 36
3.6, 1007.2, 69
39.8, 1007, 56
2.8, 1018.5, 49
0, 1021.7, 57
0.2, 1022.2, 47
0, 1024.2, 57
0, 1022.7, 48
16.2, 1020.7, 32
0, 1021.1, 34
0.2, 1019.9, 35
0, 1017.1, 29
0, 1013.1, 20
0, 1013.7, 16
0, 1012.8, 22
0, 1009.8, 23
1.2, 1013, 26
0.6, 1013.3, 25
0, 1013.7, 27
0, 1006.5, 26
0.4, 1008.9, 72
25.8, 1014.9, 79
0.4, 1019.2, 57
0, 1018.6, 31
0, 1016.5, 48
0.2, 1018.6, 55
0, 1014.8, 31
0, 1017.1, 80
0.4, 1013.3, 49
22.6, 1014.1, 90
4.2, 1009.5, 46
0.2, 1004.6, 60
6.6, 1006.3, 40
0, 1015.3, 63
0, 1016.1, 54
0, 1011.5, 74
4, 1011.4, 42
0, 1008.5, 24
0, 1010.4, 37
0.6, 1017.4, 63
0, 1019.6, 51
0, 1019.3, 49
0, 1012.5, 37
0, 1010.2, 36
5.4, 1008.6, 86
1.4, 1016.8, 40
0, 1018.3, 43
0, 1015.6, 54
3.4, 1014.1, 74
6.4, 1008.3, 48
11, 996.8, 62
17.4, 1009.1, 49
0, 1009.7, 43
3.4, 1019.1, 52
0, 1018, 35
0, 1014.3, 64
14.4, 1013.4, 44
0, 1014.2, 30
0, 1015, 18
0, 1015.6, 20
0, 1011.6, 20
0, 1008.7, 14
0, 1016.3, 55
0, 1013, 45
0, 1007.4, 40
0, 1003.3, 34
0, 1009.5, 36
0, 1013.4, 44
0, 1015.9, 45
0, 1013.3, 25
0, 1006.5, 24
0, 1003, 28
2, 1001.8, 35
0, 1012.3, 57
0, 1009, 26
0, 1006.1, 62
4.8, 1015, 42
0, 1015.8, 55
18.8, 1006, 88
12.2, 1004, 71
0.8, 1012.1, 58
0, 1016.8, 46
0, 1019.2, 38
0, 1018.1, 29
0, 1016.9, 32
0, 1012.4, 28
0, 1009.5, 28
0, 1012, 18
0, 1014.6, 22
0, 1013.7, 29
5.2, 1012.8, 49
2.2, 1017.1, 49
0, 1014.5, 44
0, 1012.8, 38
1.8, 1011.5, 76
9, 1007.8, 71
1, 997.5, 41
0, 998.9, 76
16.2, 1005, 58
0, 1006.8, 51
0, 1011.4, 37
0, 1011.7, 34
